step,epoch,train_loss_step,lr-Adam,val_loss,train_loss_epoch,test_loss
6079,94,,,0.042834844440221786,,
6079,94,,,,0.23871086537837982,
6080,,,0.001,,,
6099,,,0.001,,,
6099,95,0.1245012953877449,,,,
6143,95,,,0.042447153478860855,,
6143,95,,,,0.23803015053272247,
6144,,,0.001,,,
6149,,,0.001,,,
6149,96,0.15118850767612457,,,,
6199,,,0.001,,,
6199,96,0.23410958051681519,,,,
6207,96,,,0.0435519702732563,,
6207,96,,,,0.2394680678844452,
6208,,,0.001,,,
6249,,,0.001,,,
6249,97,0.32884612679481506,,,,
6271,97,,,0.0435357429087162,,
6271,97,,,,0.23886361718177795,
6272,,,0.001,,,
6299,,,0.001,,,
6299,98,0.19718168675899506,,,,
6335,98,,,0.04474151134490967,,
6335,98,,,,0.2394285798072815,
6336,,,0.001,,,
6349,,,0.001,,,
6349,99,0.2202419489622116,,,,
6399,,,0.001,,,
6399,99,0.1440519392490387,,,,
6399,99,,,0.04339851438999176,,
6399,99,,,,0.24002805352210999,
6400,,,0.001,,,
6449,,,0.001,,,
6449,100,0.2741009294986725,,,,
6463,100,,,0.04252758249640465,,
6463,100,,,,0.23941615223884583,
6464,,,0.001,,,
6499,,,0.001,,,
6499,101,0.30977481603622437,,,,
6527,101,,,0.04236036539077759,,
6527,101,,,,0.23689109086990356,
6528,,,0.001,,,
6549,,,0.001,,,
6549,102,0.24279049038887024,,,,
6591,102,,,0.04168614372611046,,
6591,102,,,,0.23729243874549866,
6592,,,0.001,,,
6599,,,0.001,,,
6599,103,0.1482745260000229,,,,
6649,,,0.001,,,
6649,103,0.2464597523212433,,,,
6655,103,,,0.043924156576395035,,
6655,103,,,,0.23652687668800354,
6656,,,0.001,,,
6699,,,0.001,,,
6699,104,0.2570095658302307,,,,
6719,104,,,0.04717864841222763,,
6719,104,,,,0.23925569653511047,
6720,,,0.001,,,
6749,,,0.001,,,
6749,105,0.28577256202697754,,,,
6783,105,,,0.04115603491663933,,
6783,105,,,,0.24026168882846832,
6784,,,0.001,,,
6799,,,0.001,,,
6799,106,0.17994612455368042,,,,
6847,106,,,0.04139334708452225,,
6847,106,,,,0.23516932129859924,
6848,,,0.001,,,
6849,,,0.001,,,
6849,107,0.21572837233543396,,,,
6899,,,0.001,,,
6899,107,0.3192881643772125,,,,
6911,107,,,0.042034685611724854,,
6911,107,,,,0.23939812183380127,
6912,,,0.001,,,
6949,,,0.001,,,
6949,108,0.1831672340631485,,,,
6975,108,,,0.04230411350727081,,
6975,108,,,,0.23596201837062836,
6976,,,0.001,,,
6999,,,0.001,,,
6999,109,0.2783476710319519,,,,
7039,109,,,0.040654394775629044,,
7039,109,,,,0.2382066398859024,
7040,,,0.001,,,
7049,,,0.001,,,
7049,110,0.2088802009820938,,,,
7099,,,0.001,,,
7099,110,0.24576225876808167,,,,
7103,110,,,0.04048379138112068,,
7103,110,,,,0.23784109950065613,
7104,,,0.001,,,
7149,,,0.001,,,
7149,111,0.17638522386550903,,,,
7167,111,,,0.04061417281627655,,
7167,111,,,,0.23903772234916687,
7168,,,0.001,,,
7199,,,0.001,,,
7199,112,0.27522969245910645,,,,
7231,112,,,0.04519527405500412,,
7231,112,,,,0.2359197735786438,
7232,,,0.001,,,
7249,,,0.001,,,
7249,113,0.1352866291999817,,,,
7295,113,,,0.04130188748240471,,
7295,113,,,,0.23855262994766235,
7296,,,0.001,,,
7299,,,0.001,,,
7299,114,0.28432780504226685,,,,
7349,,,0.001,,,
