lr-Adam,train_loss_step,epoch,step,val_loss,train_loss_epoch,test_loss
,,120,7743,,0.20986412465572357,
0.001,,,7744,,,
0.001,,,7749,,,
,0.27860668301582336,121,7749,,,
0.001,,,7799,,,
,0.2765679955482483,121,7799,,,
,,121,7807,0.02407272718846798,,
,,121,7807,,0.2129688709974289,
0.001,,,7808,,,
0.001,,,7849,,,
,0.2480435073375702,122,7849,,,
,,122,7871,0.025524001568555832,,
,,122,7871,,0.20968511700630188,
0.001,,,7872,,,
0.001,,,7899,,,
,0.2217315137386322,123,7899,,,
,,123,7935,0.027431530877947807,,
,,123,7935,,0.21208468079566956,
0.001,,,7936,,,
0.001,,,7949,,,
,0.2571871280670166,124,7949,,,
0.001,,,7999,,,
,0.1975671350955963,124,7999,,,
,,124,7999,0.023398784920573235,,
,,124,7999,,0.21210063993930817,
0.001,,,8000,,,
0.001,,,8049,,,
,0.25736549496650696,125,8049,,,
,,125,8063,0.024346202611923218,,
,,125,8063,,0.2118414342403412,
0.001,,,8064,,,
0.001,,,8099,,,
,0.15394698083400726,126,8099,,,
,,126,8127,0.024371935054659843,,
,,126,8127,,0.2112632542848587,
0.001,,,8128,,,
0.001,,,8149,,,
,0.20054639875888824,127,8149,,,
,,127,8191,0.02506105788052082,,
,,127,8191,,0.21266533434391022,
0.001,,,8192,,,
0.001,,,8199,,,
,0.13291193544864655,128,8199,,,
0.001,,,8249,,,
,0.2703092396259308,128,8249,,,
,,128,8255,0.026204492896795273,,
,,128,8255,,0.21132397651672363,
0.001,,,8256,,,
0.001,,,8299,,,
,0.1730525940656662,129,8299,,,
,,129,8319,0.02673528902232647,,
,,129,8319,,0.21172602474689484,
0.001,,,8320,,,
0.001,,,8349,,,
,0.25231659412384033,130,8349,,,
,,130,8383,0.02455729991197586,,
,,130,8383,,0.21407143771648407,
0.001,,,8384,,,
0.001,,,8399,,,
,0.2159862220287323,131,8399,,,
,,131,8447,0.024625049903988838,,
,,131,8447,,0.21213383972644806,
0.001,,,8448,,,
0.001,,,8449,,,
,0.2597924470901489,132,8449,,,
0.001,,,8499,,,
,0.18106691539287567,132,8499,,,
,,132,8511,0.027371546253561974,,
,,132,8511,,0.2128114104270935,
0.001,,,8512,,,
0.001,,,8549,,,
,0.2883313000202179,133,8549,,,
,,133,8575,0.023660821840167046,,
,,133,8575,,0.2099054455757141,
0.001,,,8576,,,
0.001,,,8599,,,
,0.2836601734161377,134,8599,,,
,,134,8639,0.024319257587194443,,
,,134,8639,,0.2121874988079071,
0.001,,,8640,,,
0.001,,,8649,,,
,0.27868223190307617,135,8649,,,
0.001,,,8699,,,
,0.14773857593536377,135,8699,,,
,,135,8703,0.023473724722862244,,
,,135,8703,,0.21265310049057007,
0.001,,,8704,,,
0.001,,,8749,,,
,0.30357059836387634,136,8749,,,
,,136,8767,0.024049868807196617,,
,,136,8767,,0.21506033837795258,
0.001,,,8768,,,
0.001,,,8799,,,
,0.16666777431964874,137,8799,,,
,,137,8831,0.02356765978038311,,
,,137,8831,,0.2096961885690689,
0.001,,,8832,,,
0.001,,,8849,,,
,0.2220037430524826,138,8849,,,
,,138,8895,0.02430681698024273,,
,,138,8895,,0.21239547431468964,
0.001,,,8896,,,
0.001,,,8899,,,
,0.2694893181324005,139,8899,,,
0.001,,,8949,,,
,0.18696202337741852,139,8949,,,
,,139,8959,0.023274796083569527,,
,,139,8959,,0.2121991515159607,
0.001,,,8960,,,
0.001,,,8999,,,
,0.27718088030815125,140,8999,,,
,,140,9023,0.02324484847486019,,
,,140,9023,,0.21126656234264374,
0.001,,,9024,,,
0.001,,,9049,,,
,0.08360899984836578,141,9049,,,
,,141,9087,0.02478545717895031,,
,,141,9087,,0.21116845309734344,
0.001,,,9088,,,
0.001,,,9099,,,
,0.258595734834671,142,9099,,,
0.001,,,9149,,,
,0.1755824089050293,142,9149,,,
,,142,9151,0.025495098903775215,,
,,142,9151,,0.21301056444644928,
0.001,,,9152,,,
0.001,,,9199,,,
,0.32824307680130005,143,9199,,,
,,143,9215,0.02383023500442505,,
,,143,9215,,0.21031944453716278,
0.001,,,9216,,,
0.001,,,9249,,,
