step,epoch,lr-Adam,train_loss_step,val_loss,train_loss_epoch,test_loss
8199,128,,0.33129072189331055,,,
8249,,0.001,,,,
8249,128,,0.1660415679216385,,,
8255,128,,,0.047557100653648376,,
8255,128,,,,0.24454599618911743,
8256,,0.001,,,,
8299,,0.001,,,,
8299,129,,0.2809732258319855,,,
8319,129,,,0.048860955983400345,,
8319,129,,,,0.24354900419712067,
8320,,0.001,,,,
8349,,0.001,,,,
8349,130,,0.22760465741157532,,,
8383,130,,,0.04749586805701256,,
8383,130,,,,0.24301591515541077,
8384,,0.001,,,,
8399,,0.001,,,,
8399,131,,0.2067122906446457,,,
8447,131,,,0.04686249420046806,,
8447,131,,,,0.2453741431236267,
8448,,0.001,,,,
8449,,0.001,,,,
8449,132,,0.26631858944892883,,,
8499,,0.001,,,,
8499,132,,0.22225986421108246,,,
8511,132,,,0.048597682267427444,,
8511,132,,,,0.24416890740394592,
8512,,0.001,,,,
8549,,0.001,,,,
8549,133,,0.2865332067012787,,,
8575,133,,,0.048113204538822174,,
8575,133,,,,0.24426822364330292,
8576,,0.001,,,,
8599,,0.001,,,,
8599,134,,0.24912700057029724,,,
8639,134,,,0.048178303986787796,,
8639,134,,,,0.2431875616312027,
8640,,0.001,,,,
8649,,0.001,,,,
8649,135,,0.2469465434551239,,,
8699,,0.001,,,,
8699,135,,0.33805739879608154,,,
8703,135,,,0.0481453612446785,,
8703,135,,,,0.24606716632843018,
8704,,0.001,,,,
8749,,0.001,,,,
8749,136,,0.195238396525383,,,
8767,136,,,0.05305418744683266,,
8767,136,,,,0.24382176995277405,
8768,,0.001,,,,
8799,,0.001,,,,
8799,137,,0.25795164704322815,,,
8831,137,,,0.04720063880085945,,
8831,137,,,,0.2462720423936844,
8832,,0.001,,,,
8849,,0.001,,,,
8849,138,,0.27246204018592834,,,
8895,138,,,0.04900623857975006,,
8895,138,,,,0.2431165724992752,
8896,,0.001,,,,
8899,,0.001,,,,
8899,139,,0.22278794646263123,,,
8949,,0.001,,,,
8949,139,,0.1320408135652542,,,
8959,139,,,0.05268632248044014,,
8959,139,,,,0.24378345906734467,
8960,,0.001,,,,
8999,,0.001,,,,
8999,140,,0.3256396949291229,,,
9023,140,,,0.04715907573699951,,
9023,140,,,,0.244479700922966,
9024,,0.001,,,,
9049,,0.001,,,,
9049,141,,0.23924323916435242,,,
9087,141,,,0.04946201667189598,,
