lr-Adam,step,train_loss_step,epoch,val_loss,train_loss_epoch,test_loss
,4287,,66,,0.18532931804656982,
0.001,4288,,,,,
0.001,4299,,,,,
,4299,0.18397735059261322,67,,,
0.001,4349,,,,,
,4349,0.18736395239830017,67,,,
,4351,,67,0.18483194708824158,,
,4351,,67,,0.1853102296590805,
0.001,4352,,,,,
0.001,4399,,,,,
,4399,0.18443571031093597,68,,,
,4415,,68,0.18463607132434845,,
,4415,,68,,0.18522211909294128,
0.001,4416,,,,,
0.001,4449,,,,,
,4449,0.18432825803756714,69,,,
,4479,,69,0.18460595607757568,,
,4479,,69,,0.18520966172218323,
0.001,4480,,,,,
0.001,4499,,,,,
,4499,0.18564783036708832,70,,,
,4543,,70,0.1847047507762909,,
,4543,,70,,0.18525631725788116,
0.001,4544,,,,,
0.001,4549,,,,,
,4549,0.18384964764118195,71,,,
0.001,4599,,,,,
,4599,0.1828659325838089,71,,,
,4607,,71,0.18460246920585632,,
,4607,,71,,0.1852758526802063,
0.001,4608,,,,,
0.001,4649,,,,,
,4649,0.18674229085445404,72,,,
,4671,,72,0.18458549678325653,,
,4671,,72,,0.1852988600730896,
0.001,4672,,,,,
0.001,4699,,,,,
,4699,0.1861688494682312,73,,,
,4735,,73,0.1847209334373474,,
,4735,,73,,0.18525592982769012,
0.001,4736,,,,,
0.001,4749,,,,,
,4749,0.18479929864406586,74,,,
0.001,4799,,,,,
,4799,0.18398228287696838,74,,,
,4799,,74,0.18476934731006622,,
,4799,,74,,0.1851993352174759,
0.001,4800,,,,,
0.001,4849,,,,,
,4849,0.18547874689102173,75,,,
,4863,,75,0.18467557430267334,,
,4863,,75,,0.18521979451179504,
0.001,4864,,,,,
0.001,4899,,,,,
,4899,0.18545985221862793,76,,,
,4927,,76,0.18459577858448029,,
,4927,,76,,0.18515342473983765,
0.001,4928,,,,,
0.001,4949,,,,,
,4949,0.1845458745956421,77,,,
,4991,,77,0.18456816673278809,,
,4991,,77,,0.18514405190944672,
0.001,4992,,,,,
0.001,4999,,,,,
,4999,0.18371206521987915,78,,,
0.001,5049,,,,,
,5049,0.185525581240654,78,,,
,5055,,78,0.18454121053218842,,
,5055,,78,,0.1851220577955246,
0.001,5056,,,,,
0.001,5099,,,,,
,5099,0.1855684220790863,79,,,
,5119,,79,0.18454252183437347,,
,5119,,79,,0.1851218193769455,
0.001,5120,,,,,
0.001,5149,,,,,
,5149,0.18668882548809052,80,,,
,5183,,80,0.18451052904129028,,
,5183,,80,,0.18516120314598083,
0.001,5184,,,,,
0.001,5199,,,,,
,5199,0.18442200124263763,81,,,
,5247,,81,0.18481113016605377,,
,5247,,81,,0.18525458872318268,
0.001,5248,,,,,
0.001,5249,,,,,
