step,train_loss_step,lr-AdamW,epoch,val_loss,train_loss_epoch,test_loss
6335,,,98,0.04473649337887764,,
6335,,,98,,0.23940612375736237,
6336,,0.001,,,,
6349,,0.001,,,,
6349,0.2618294358253479,,99,,,
6399,,0.001,,,,
6399,0.23464082181453705,,99,,,
6399,,,99,0.045289088040590286,,
6399,,,99,,0.23946699500083923,
6400,,0.001,,,,
6449,,0.001,,,,
6449,0.24819236993789673,,100,,,
6463,,,100,0.0466732457280159,,
6463,,,100,,0.24381889402866364,
6464,,0.001,,,,
6499,,0.001,,,,
6499,0.27142930030822754,,101,,,
6527,,,101,0.044315360486507416,,
6527,,,101,,0.2382131814956665,
6528,,0.001,,,,
6549,,0.001,,,,
6549,0.14957769215106964,,102,,,
6591,,,102,0.044042497873306274,,
6591,,,102,,0.240159809589386,
6592,,0.001,,,,
6599,,0.001,,,,
6599,0.2857349216938019,,103,,,
6649,,0.001,,,,
6649,0.2868376076221466,,103,,,
6655,,,103,0.046531569212675095,,
6655,,,103,,0.2375117540359497,
6656,,0.001,,,,
6699,,0.001,,,,
6699,0.20777259767055511,,104,,,
6719,,,104,0.044733233749866486,,
6719,,,104,,0.23931419849395752,
6720,,0.001,,,,
6749,,0.001,,,,
6749,0.1447448432445526,,105,,,
6783,,,105,0.04597033932805061,,
6783,,,105,,0.2402103841304779,
6784,,0.001,,,,
6799,,0.001,,,,
6799,0.32048019766807556,,106,,,
6847,,,106,0.04482652246952057,,
6847,,,106,,0.24118752777576447,
6848,,0.001,,,,
6849,,0.001,,,,
6849,0.2262507826089859,,107,,,
6899,,0.001,,,,
6899,0.19790326058864594,,107,,,
6911,,,107,0.045576825737953186,,
6911,,,107,,0.24046923220157623,
6912,,0.001,,,,
6949,,0.001,,,,
6949,0.17616340517997742,,108,,,
6975,,,108,0.045610204339027405,,
6975,,,108,,0.2398402839899063,
6976,,0.001,,,,
6999,,0.001,,,,
6999,0.20119570195674896,,109,,,
7039,,,109,0.04476410895586014,,
7039,,,109,,0.23990744352340698,
7040,,0.001,,,,
7049,,0.001,,,,
7049,0.28582626581192017,,110,,,
7099,,0.001,,,,
7099,0.18202224373817444,,110,,,
7103,,,110,0.04594137892127037,,
7103,,,110,,0.23912207782268524,
7104,,0.001,,,,
7149,,0.001,,,,
7149,0.3078001141548157,,111,,,
7167,,,111,0.04539124667644501,,
7167,,,111,,0.2399323731660843,
7168,,0.001,,,,
7199,,0.001,,,,
7199,0.2302764505147934,,112,,,
7231,,,112,0.06708430498838425,,
7231,,,112,,0.24735507369041443,
7232,,0.001,,,,
7249,,0.001,,,,
7249,0.22622434794902802,,113,,,
7295,,,113,0.04588702321052551,,
7295,,,113,,0.25261059403419495,
7296,,0.001,,,,
7299,,0.001,,,,
7299,0.3030499815940857,,114,,,
7349,,0.001,,,,
7349,0.20492368936538696,,114,,,
7359,,,114,0.046715617179870605,,
7359,,,114,,0.23745925724506378,
7360,,0.001,,,,
7399,,0.001,,,,
7399,0.2603675127029419,,115,,,
7423,,,115,0.04649512842297554,,
7423,,,115,,0.23895998299121857,
7424,,0.001,,,,
7449,,0.001,,,,
7449,0.2379736304283142,,116,,,
