lr-Adam,step,train_loss_step,epoch,val_loss,train_loss_epoch
,10499,0.22273248434066772,164,,
0.001,10549,,,,
,10549,0.13068833947181702,164,,
,10559,,164,0.017799515277147293,
,10559,,164,,0.20399175584316254
0.001,10560,,,,
0.001,10599,,,,
,10599,0.10009978711605072,165,,
,10623,,165,0.01801670901477337,
,10623,,165,,0.20387090742588043
0.001,10624,,,,
0.001,10649,,,,
,10649,0.27446502447128296,166,,
,10687,,166,0.021216699853539467,
,10687,,166,,0.2061564177274704
0.001,10688,,,,
0.001,10699,,,,
,10699,0.21161527931690216,167,,
0.001,10749,,,,
,10749,0.23533771932125092,167,,
,10751,,167,0.026438944041728973,
,10751,,167,,0.20375894010066986
0.001,10752,,,,
0.001,10799,,,,
,10799,0.10078363865613937,168,,
,10815,,168,0.018415220081806183,
,10815,,168,,0.207006573677063
0.001,10816,,,,
0.001,10849,,,,
,10849,0.24519455432891846,169,,
,10879,,169,0.018869932740926743,
,10879,,169,,0.2046113759279251
0.001,10880,,,,
0.001,10899,,,,
,10899,0.23539547622203827,170,,
,10943,,170,0.020862404257059097,
,10943,,170,,0.20686466991901398
0.001,10944,,,,
0.001,10949,,,,
,10949,0.3144780099391937,171,,
0.001,10999,,,,
,10999,0.2968103289604187,171,,
,11007,,171,0.022428885102272034,
,11007,,171,,0.20890069007873535
0.001,11008,,,,
0.001,11049,,,,
,11049,0.22127574682235718,172,,
,11071,,172,0.01805867813527584,
