epoch,train_loss_step,lr-Adam,step,val_loss,train_loss_epoch,test_loss
119,,,7679,0.023437293246388435,,
119,,,7679,,0.02430160716176033,
,,0.001,7680,,,
,,0.001,7699,,,
120,0.02515243925154209,,7699,,,
120,,,7743,0.024066463112831116,,
120,,,7743,,0.02448873594403267,
,,0.001,7744,,,
,,0.001,7749,,,
121,0.024478143081068993,,7749,,,
,,0.001,7799,,,
121,0.023837534710764885,,7799,,,
121,,,7807,0.02374926023185253,,
121,,,7807,,0.023817455396056175,
,,0.001,7808,,,
,,0.001,7849,,,
122,0.023811552673578262,,7849,,,
122,,,7871,0.023678656667470932,,
122,,,7871,,0.02418314665555954,
,,0.001,7872,,,
,,0.001,7899,,,
123,0.023392340168356895,,7899,,,
123,,,7935,0.02363850548863411,,
123,,,7935,,0.024147018790245056,
,,0.001,7936,,,
,,0.001,7949,,,
124,0.023524170741438866,,7949,,,
,,0.001,7999,,,
124,0.023846367374062538,,7999,,,
124,,,7999,0.023211432620882988,,
124,,,7999,,0.02404751628637314,
,,0.001,8000,,,
,,0.001,8049,,,
125,0.023314565420150757,,8049,,,
125,,,8063,0.0231807641685009,,
125,,,8063,,0.02384224720299244,
,,0.001,8064,,,
,,0.001,8099,,,
126,0.022957991808652878,,8099,,,
126,,,8127,0.02550235018134117,,
126,,,8127,,0.024793704971671104,
,,0.001,8128,,,
,,0.001,8149,,,
127,0.024618452414870262,,8149,,,
127,,,8191,0.02357049472630024,,
127,,,8191,,0.02427101880311966,
,,0.001,8192,,,
,,0.001,8199,,,
128,0.022615943104028702,,8199,,,
,,0.001,8249,,,
128,0.022601569071412086,,8249,,,
128,,,8255,0.02420000359416008,,
128,,,8255,,0.023739991709589958,
,,0.001,8256,,,
,,0.001,8299,,,
129,0.023769965395331383,,8299,,,
129,,,8319,0.023220812901854515,,
129,,,8319,,0.023687956854701042,
,,0.001,8320,,,
,,0.001,8349,,,
130,0.022879088297486305,,8349,,,
130,,,8383,0.023302506655454636,,
130,,,8383,,0.023884419351816177,
,,0.001,8384,,,
,,0.001,8399,,,
131,0.023502547293901443,,8399,,,
131,,,8447,0.023082243278622627,,
131,,,8447,,0.023639671504497528,
,,0.001,8448,,,
,,0.001,8449,,,
132,0.02323617972433567,,8449,,,
,,0.001,8499,,,
132,0.022448766976594925,,8499,,,
132,,,8511,0.022989174351096153,,
132,,,8511,,0.023427769541740417,
,,0.001,8512,,,
,,0.001,8549,,,
133,0.022522948682308197,,8549,,,
133,,,8575,0.023833367973566055,,
133,,,8575,,0.02394607476890087,
,,0.001,8576,,,
,,0.001,8599,,,
134,0.024121930822730064,,8599,,,
134,,,8639,0.02366666868329048,,
134,,,8639,,0.02334284968674183,
,,0.001,8640,,,
,,0.001,8649,,,
135,0.023753110319375992,,8649,,,
,,0.001,8699,,,
135,0.02291323058307171,,8699,,,
135,,,8703,0.022762134671211243,,
135,,,8703,,0.02349994145333767,
,,0.001,8704,,,
,,0.001,8749,,,
136,0.022527912631630898,,8749,,,
136,,,8767,0.023552443832159042,,
136,,,8767,,0.023530662059783936,
,,0.001,8768,,,
,,0.001,8799,,,
137,0.02360355854034424,,8799,,,
137,,,8831,0.023249244317412376,,
