step,lr-Adam,epoch,train_loss_step,val_loss,train_loss_epoch,test_loss
9663,,150,,0.015101268887519836,,
9663,,150,,,0.014628746546804905,
9664,0.001,,,,,
9699,0.001,,,,,
9699,,151,0.013621401973068714,,,
9727,,151,,0.014070653356611729,,
9727,,151,,,0.01435687392950058,
9728,0.001,,,,,
9749,0.001,,,,,
9749,,152,0.014438190497457981,,,
9791,,152,,0.014288151636719704,,
9791,,152,,,0.01519771758466959,
9792,0.001,,,,,
9799,0.001,,,,,
9799,,153,0.01510376762598753,,,
9849,0.001,,,,,
9849,,153,0.014879297465085983,,,
9855,,153,,0.015283366665244102,,
9855,,153,,,0.015128398314118385,
9856,0.001,,,,,
9899,0.001,,,,,
9899,,154,0.014895754866302013,,,
9919,,154,,0.014010938815772533,,
9919,,154,,,0.014659424312412739,
9920,0.001,,,,,
9949,0.001,,,,,
9949,,155,0.014228841289877892,,,
9983,,155,,0.014414887875318527,,
9983,,155,,,0.01431369874626398,
9984,0.001,,,,,
9999,0.001,,,,,
9999,,156,0.014374441467225552,,,
10047,,156,,0.01402257289737463,,
10047,,156,,,0.014996832236647606,
10048,0.001,,,,,
10049,0.001,,,,,
10049,,157,0.014290458522737026,,,
10099,0.001,,,,,
10099,,157,0.016758831217885017,,,
10111,,157,,0.014065038412809372,,
10111,,157,,,0.01474145706743002,
10112,0.001,,,,,
10149,0.001,,,,,
10149,,158,0.014331910759210587,,,
10175,,158,,0.014491777867078781,,
10175,,158,,,0.014718664810061455,
10176,0.001,,,,,
10199,0.001,,,,,
10199,,159,0.013955801725387573,,,
10239,,159,,0.014100187458097935,,
10239,,159,,,0.014081193134188652,
10240,0.001,,,,,
10249,0.001,,,,,
10249,,160,0.013655022718012333,,,
10299,0.001,,,,,
10299,,160,0.014424518682062626,,,
10303,,160,,0.01409891340881586,,
10303,,160,,,0.014382719993591309,
10304,0.001,,,,,
10349,0.001,,,,,
