epoch,step,lr-Adam,train_loss_step,val_loss,train_loss_epoch,test_loss
82,5299,,0.015250108204782009,,,
82,5311,,,0.016409529373049736,,
82,5311,,,,0.01576319895684719,
,5312,0.001,,,,
,5349,0.001,,,,
83,5349,,0.01580098457634449,,,
83,5375,,,0.017276760190725327,,
83,5375,,,,0.016127625480294228,
,5376,0.001,,,,
,5399,0.001,,,,
84,5399,,0.016762059181928635,,,
84,5439,,,0.01630190946161747,,
84,5439,,,,0.016136420890688896,
,5440,0.001,,,,
,5449,0.001,,,,
85,5449,,0.01657123677432537,,,
,5499,0.001,,,,
85,5499,,0.015094555914402008,,,
85,5503,,,0.01508171483874321,,
85,5503,,,,0.015701748430728912,
,5504,0.001,,,,
,5549,0.001,,,,
86,5549,,0.014744525775313377,,,
86,5567,,,0.017538852989673615,,
86,5567,,,,0.015280988067388535,
,5568,0.001,,,,
,5599,0.001,,,,
87,5599,,0.015038669109344482,,,
87,5631,,,0.01575443707406521,,
87,5631,,,,0.015549181029200554,
,5632,0.001,,,,
,5649,0.001,,,,
88,5649,,0.016078148037195206,,,
88,5695,,,0.014881185255944729,,
88,5695,,,,0.015780160203576088,
,5696,0.001,,,,
,5699,0.001,,,,
89,5699,,0.015383204445242882,,,
,5749,0.001,,,,
89,5749,,0.01527053490281105,,,
89,5759,,,0.014755251817405224,,
89,5759,,,,0.015452172607183456,
,5760,0.001,,,,
,5799,0.001,,,,
90,5799,,0.01482199877500534,,,
90,5823,,,0.014734758995473385,,
90,5823,,,,0.01540838647633791,
,5824,0.001,,,,
,5849,0.001,,,,
91,5849,,0.015848014503717422,,,
91,5887,,,0.01536130253225565,,
91,5887,,,,0.015561288222670555,
,5888,0.001,,,,
,5899,0.001,,,,
92,5899,,0.015510663390159607,,,
,5949,0.001,,,,
92,5949,,0.01432133186608553,,,
92,5951,,,0.01546053308993578,,
92,5951,,,,0.015144102275371552,
,5952,0.001,,,,
,5999,0.001,,,,
93,5999,,0.01490653958171606,,,
93,6015,,,0.016669580712914467,,
93,6015,,,,0.015430528670549393,
,6016,0.001,,,,
,6049,0.001,,,,
94,6049,,0.014653276652097702,,,
94,6079,,,0.015922438353300095,,
94,6079,,,,0.015841791406273842,
,6080,0.001,,,,
,6099,0.001,,,,
95,6099,,0.015263988636434078,,,
95,6143,,,0.014472300186753273,,
95,6143,,,,0.015079065226018429,
,6144,0.001,,,,
,6149,0.001,,,,
96,6149,,0.015445059165358543,,,
,6199,0.001,,,,
96,6199,,0.015242842957377434,,,
96,6207,,,0.014824236743152142,,
96,6207,,,,0.015253844670951366,
,6208,0.001,,,,
,6249,0.001,,,,
97,6249,,0.015396829694509506,,,
97,6271,,,0.014782091602683067,,
97,6271,,,,0.015329714864492416,
,6272,0.001,,,,
,6299,0.001,,,,
98,6299,,0.014093299396336079,,,
98,6335,,,0.01501465030014515,,
98,6335,,,,0.01517781987786293,
,6336,0.001,,,,
,6349,0.001,,,,
99,6349,,0.017904864624142647,,,
,6399,0.001,,,,
99,6399,,0.015183832496404648,,,
99,6399,,,0.016250649467110634,,
99,6399,,,,0.015539390034973621,
,6400,0.001,,,,
,6449,0.001,,,,
100,6449,,0.01516744401305914,,,
100,6463,,,0.01592058688402176,,
100,6463,,,,0.014866309240460396,
,6464,0.001,,,,
,6499,0.001,,,,
101,6499,,0.014624235220253468,,,
101,6527,,,0.014920386485755444,,
101,6527,,,,0.014949711970984936,
,6528,0.001,,,,
,6549,0.001,,,,
102,6549,,0.014261817559599876,,,
102,6591,,,0.014761876314878464,,
102,6591,,,,0.014655409380793571,
,6592,0.001,,,,
,6599,0.001,,,,
103,6599,,0.018026936799287796,,,
,6649,0.001,,,,
103,6649,,0.01492320466786623,,,
103,6655,,,0.014700370840728283,,
103,6655,,,,0.015523506328463554,
,6656,0.001,,,,
,6699,0.001,,,,
104,6699,,0.013926609419286251,,,
104,6719,,,0.01604040153324604,,
104,6719,,,,0.014968980103731155,
,6720,0.001,,,,
,6749,0.001,,,,
105,6749,,0.014682317152619362,,,
105,6783,,,0.01434913370758295,,
105,6783,,,,0.01474466547369957,
,6784,0.001,,,,
,6799,0.001,,,,
106,6799,,0.01429271511733532,,,
106,6847,,,0.015341449528932571,,
106,6847,,,,0.014589800499379635,
,6848,0.001,,,,
,6849,0.001,,,,
107,6849,,0.01471745315939188,,,
,6899,0.001,,,,
107,6899,,0.014285864308476448,,,
107,6911,,,0.01416016835719347,,
107,6911,,,,0.014649110846221447,
,6912,0.001,,,,
,6949,0.001,,,,
108,6949,,0.015045175328850746,,,
108,6975,,,0.014613025821745396,,
108,6975,,,,0.014850452542304993,
,6976,0.001,,,,
,6999,0.001,,,,
109,6999,,0.01404495444148779,,,
109,7039,,,0.014428949914872646,,
109,7039,,,,0.014590589329600334,
,7040,0.001,,,,
,7049,0.001,,,,
110,7049,,0.014364252798259258,,,
,7099,0.001,,,,
110,7099,,0.014062279835343361,,,
110,7103,,,0.014383281581103802,,
110,7103,,,,0.01438472792506218,
,7104,0.001,,,,
,7149,0.001,,,,
111,7149,,0.015369441360235214,,,
111,7167,,,0.014171913266181946,,
111,7167,,,,0.014488576911389828,
,7168,0.001,,,,
,7199,0.001,,,,
112,7199,,0.014361375942826271,,,
112,7231,,,0.014852944761514664,,
112,7231,,,,0.014310536906123161,
,7232,0.001,,,,
,7249,0.001,,,,
113,7249,,0.014812976121902466,,,
113,7295,,,0.014160162769258022,,
113,7295,,,,0.014390150085091591,
,7296,0.001,,,,
,7299,0.001,,,,
114,7299,,0.014402770437300205,,,
,7349,0.001,,,,
114,7349,,0.014513872563838959,,,
114,7359,,,0.013793690130114555,,
114,7359,,,,0.014532211236655712,
,7360,0.001,,,,
,7399,0.001,,,,
115,7399,,0.014507414773106575,,,
115,7423,,,0.013797476887702942,,
115,7423,,,,0.014314844273030758,
,7424,0.001,,,,
,7449,0.001,,,,
116,7449,,0.014205596409738064,,,
116,7487,,,0.015186349861323833,,
116,7487,,,,0.014403639361262321,
,7488,0.001,,,,
,7499,0.001,,,,
117,7499,,0.014238874427974224,,,
,7549,0.001,,,,
117,7549,,0.014054916799068451,,,
117,7551,,,0.013884197920560837,,
117,7551,,,,0.014631957747042179,
,7552,0.001,,,,
,7599,0.001,,,,
118,7599,,0.014492882415652275,,,
118,7615,,,0.013730866834521294,,
118,7615,,,,0.014080610126256943,
,7616,0.001,,,,
,7649,0.001,,,,
119,7649,,0.014645381830632687,,,
119,7679,,,0.014218972995877266,,
119,7679,,,,0.014317833818495274,
,7680,0.001,,,,
,7699,0.001,,,,
120,7699,,0.0140975471585989,,,
120,7743,,,0.014100514352321625,,
120,7743,,,,0.01456477865576744,
,7744,0.001,,,,
,7749,0.001,,,,
121,7749,,0.014368453994393349,,,
,7799,0.001,,,,
121,7799,,0.013768957927823067,,,
121,7807,,,0.014102991670370102,,
121,7807,,,,0.01422483753412962,
,7808,0.001,,,,
,7849,0.001,,,,
122,7849,,0.01586860977113247,,,
122,7871,,,0.01579342596232891,,
122,7871,,,,0.014938360080122948,
,7872,0.001,,,,
,7899,0.001,,,,
123,7899,,0.014594530686736107,,,
123,7935,,,0.015032579191029072,,
123,7935,,,,0.014640429988503456,
,7936,0.001,,,,
,7949,0.001,,,,
124,7949,,0.01419773418456316,,,
,7999,0.001,,,,
124,7999,,0.014641575515270233,,,
124,7999,,,0.01522688940167427,,
124,7999,,,,0.014292828738689423,
,8000,0.001,,,,
,8049,0.001,,,,
125,8049,,0.01377771608531475,,,
125,8063,,,0.01376894861459732,,
125,8063,,,,0.014175141230225563,
,8064,0.001,,,,
,8099,0.001,,,,
126,8099,,0.013321836479008198,,,
126,8127,,,0.014354170300066471,,
126,8127,,,,0.014199362136423588,
,8128,0.001,,,,
,8149,0.001,,,,
127,8149,,0.013563262298703194,,,
127,8191,,,0.014614411629736423,,
127,8191,,,,0.014651520177721977,
,8192,0.001,,,,
,8199,0.001,,,,
128,8199,,0.015336927026510239,,,
,8249,0.001,,,,
128,8249,,0.013532995246350765,,,
128,8255,,,0.013712686486542225,,
128,8255,,,,0.013966783881187439,
,8256,0.001,,,,
,8299,0.001,,,,
129,8299,,0.01420268788933754,,,
129,8319,,,0.014024809934198856,,
129,8319,,,,0.013923564925789833,
,8320,0.001,,,,
,8349,0.001,,,,
130,8349,,0.015785682946443558,,,
130,8383,,,0.014377902261912823,,
130,8383,,,,0.014479706063866615,
,8384,0.001,,,,
,8399,0.001,,,,
131,8399,,0.013307278975844383,,,
131,8447,,,0.01356937550008297,,
131,8447,,,,0.013720682822167873,
,8448,0.001,,,,
,8449,0.001,,,,
132,8449,,0.014294803142547607,,,
,8499,0.001,,,,
132,8499,,0.013811567798256874,,,
132,8511,,,0.014481278136372566,,
132,8511,,,,0.01403395552188158,
,8512,0.001,,,,
,8549,0.001,,,,
133,8549,,0.01726895570755005,,,
133,8575,,,0.01396278478205204,,
133,8575,,,,0.014937106519937515,
,8576,0.001,,,,
,8599,0.001,,,,
134,8599,,0.01349098701030016,,,
134,8639,,,0.013657854869961739,,
134,8639,,,,0.0137281259521842,
,8640,0.001,,,,
,8649,0.001,,,,
135,8649,,0.01398455910384655,,,
,8699,0.001,,,,
135,8699,,0.01328672282397747,,,
135,8703,,,0.01412919256836176,,
135,8703,,,,0.01383242942392826,
,8704,0.001,,,,
,8749,0.001,,,,
136,8749,,0.013984763994812965,,,
136,8767,,,0.013251646421849728,,
136,8767,,,,0.013742753304541111,
,8768,0.001,,,,
,8799,0.001,,,,
137,8799,,0.014294379390776157,,,
137,8831,,,0.013568232767283916,,
137,8831,,,,0.013761152513325214,
,8832,0.001,,,,
,8849,0.001,,,,
138,8849,,0.014067322015762329,,,
138,8895,,,0.013480894267559052,,
138,8895,,,,0.01353863812983036,
,8896,0.001,,,,
,8899,0.001,,,,
139,8899,,0.013291802257299423,,,
,8949,0.001,,,,
139,8949,,0.014235277660191059,,,
139,8959,,,0.013350231572985649,,
139,8959,,,,0.01362796500325203,
,8960,0.001,,,,
,8999,0.001,,,,
140,8999,,0.013234592042863369,,,
140,9023,,,0.013624418526887894,,
140,9023,,,,0.013728901743888855,
,9024,0.001,,,,
,9049,0.001,,,,
141,9049,,0.0134314876049757,,,
141,9087,,,0.013478870503604412,,
141,9087,,,,0.013699240982532501,
,9088,0.001,,,,
,9099,0.001,,,,
142,9099,,0.014398704282939434,,,
,9149,0.001,,,,
142,9149,,0.013316022232174873,,,
142,9151,,,0.014128684997558594,,
142,9151,,,,0.013793927617371082,
,9152,0.001,,,,
,9199,0.001,,,,
143,9199,,0.013389662839472294,,,
143,9215,,,0.013189572840929031,,
143,9215,,,,0.013611312955617905,
