step,lr-Adam,epoch,train_loss_step,val_loss,train_loss_epoch,test_loss
6949,0.001,,,,,
6949,,108,0.803252637386322,,,
6975,,108,,0.7971445322036743,,
6975,,108,,,0.790654718875885,
6976,0.001,,,,,
6999,0.001,,,,,
6999,,109,0.774402379989624,,,
7039,,109,,0.7971529960632324,,
7039,,109,,,0.7904369235038757,
7040,0.001,,,,,
7049,0.001,,,,,
7049,,110,0.8139848113059998,,,
7099,0.001,,,,,
7099,,110,0.7827802300453186,,,
7103,,110,,0.7973738312721252,,
7103,,110,,,0.790503203868866,
7104,0.001,,,,,
7149,0.001,,,,,
7149,,111,0.8208600878715515,,,
7167,,111,,0.7972729802131653,,
7167,,111,,,0.7903799414634705,
7168,0.001,,,,,
7199,0.001,,,,,
7199,,112,0.7580544352531433,,,
7231,,112,,0.7970960736274719,,
7231,,112,,,0.7906460762023926,
7232,0.001,,,,,
7249,0.001,,,,,
7249,,113,0.7920743823051453,,,
7295,,113,,0.797132134437561,,
7295,,113,,,0.7903823852539062,
7296,0.001,,,,,
7299,0.001,,,,,
7299,,114,0.7912850975990295,,,
7349,0.001,,,,,
7349,,114,0.7471868991851807,,,
7359,,114,,0.7970641255378723,,
7359,,114,,,0.7903715968132019,
7360,0.001,,,,,
7399,0.001,,,,,
7399,,115,0.7806306481361389,,,
7423,,115,,0.7970519661903381,,
7423,,115,,,0.7903614640235901,
7424,0.001,,,,,
7449,0.001,,,,,
7449,,116,0.788128137588501,,,
7487,,116,,0.7971318960189819,,
7487,,116,,,0.7908517718315125,
7488,0.001,,,,,
7499,0.001,,,,,
7499,,117,0.7691001296043396,,,
7549,0.001,,,,,
7549,,117,0.7765884399414062,,,
7551,,117,,0.7969995141029358,,
7551,,117,,,0.7903551459312439,
7552,0.001,,,,,
7599,0.001,,,,,
7599,,118,0.8005563020706177,,,
7615,,118,,0.797006368637085,,
7615,,118,,,0.7902684807777405,
7616,0.001,,,,,
7649,0.001,,,,,
7649,,119,0.7964619994163513,,,
7679,,119,,0.8008626699447632,,
7679,,119,,,0.790848433971405,
7680,0.001,,,,,
7699,0.001,,,,,
7699,,120,0.7774616479873657,,,
7743,,120,,0.7971798777580261,,
7743,,120,,,0.7907699346542358,
7744,0.001,,,,,
7749,0.001,,,,,
7749,,121,0.8001072406768799,,,
7799,0.001,,,,,
7799,,121,0.7617224454879761,,,
7807,,121,,0.7970069646835327,,
7807,,121,,,0.7902560830116272,
7808,0.001,,,,,
7849,0.001,,,,,
7849,,122,0.7818496823310852,,,
7871,,122,,0.7975612878799438,,
