lr-Adam,train_loss_step,step,epoch,val_loss,train_loss_epoch,test_loss
,,8063,125,0.01580093428492546,,
,,8063,125,,0.015454597771167755,
0.001,,8064,,,,
0.001,,8099,,,,
,0.015695007517933846,8099,126,,,
,,8127,126,0.014859151095151901,,
,,8127,126,,0.015526765026152134,
0.001,,8128,,,,
0.001,,8149,,,,
,0.01617598347365856,8149,127,,,
,,8191,127,0.015015349723398685,,
,,8191,127,,0.015666307881474495,
0.001,,8192,,,,
0.001,,8199,,,,
,0.017108814790844917,8199,128,,,
0.001,,8249,,,,
,0.018364446237683296,8249,128,,,
,,8255,128,0.015644976869225502,,
,,8255,128,,0.01576770469546318,
0.001,,8256,,,,
0.001,,8299,,,,
,0.015269308350980282,8299,129,,,
,,8319,129,0.014744032174348831,,
,,8319,129,,0.015614189207553864,
0.001,,8320,,,,
0.001,,8349,,,,
,0.015487994067370892,8349,130,,,
,,8383,130,0.01479440275579691,,
,,8383,130,,0.015353383496403694,
0.001,,8384,,,,
0.001,,8399,,,,
,0.015592320822179317,8399,131,,,
,,8447,131,0.014849078841507435,,
,,8447,131,,0.015315065160393715,
0.001,,8448,,,,
0.001,,8449,,,,
,0.012741644866764545,8449,132,,,
0.001,,8499,,,,
,0.015176591463387012,8499,132,,,
,,8511,132,0.015167197212576866,,
,,8511,132,,0.015347203239798546,
0.001,,8512,,,,
0.001,,8549,,,,
,0.01637696474790573,8549,133,,,
,,8575,133,0.015127604827284813,,
,,8575,133,,0.01597265899181366,
0.001,,8576,,,,
0.001,,8599,,,,
,0.015781627967953682,8599,134,,,
,,8639,134,0.014631579630076885,,
,,8639,134,,0.015583794564008713,
0.001,,8640,,,,
0.001,,8649,,,,
,0.016738491132855415,8649,135,,,
0.001,,8699,,,,
,0.01829119212925434,8699,135,,,
,,8703,135,0.015147059224545956,,
,,8703,135,,0.015527036972343922,
0.001,,8704,,,,
0.001,,8749,,,,
,0.015790358185768127,8749,136,,,
,,8767,136,0.015473779290914536,,
,,8767,136,,0.015479102730751038,
0.001,,8768,,,,
0.001,,8799,,,,
,0.015246259048581123,8799,137,,,
,,8831,137,0.015254000201821327,,
,,8831,137,,0.015424218028783798,
0.001,,8832,,,,
0.001,,8849,,,,
,0.015363815240561962,8849,138,,,
,,8895,138,0.014977218583226204,,
,,8895,138,,0.015559808351099491,
0.001,,8896,,,,
0.001,,8899,,,,
,0.014624473638832569,8899,139,,,
0.001,,8949,,,,
,0.01469156239181757,8949,139,,,
,,8959,139,0.015041954815387726,,
,,8959,139,,0.015330001711845398,
0.001,,8960,,,,
0.001,,8999,,,,
,0.015673255547881126,8999,140,,,
,,9023,140,0.01552629005163908,,
,,9023,140,,0.01531293150037527,
0.001,,9024,,,,
0.001,,9049,,,,
,0.01487541850656271,9049,141,,,
,,9087,141,0.014951231889426708,,
,,9087,141,,0.015272610820829868,
0.001,,9088,,,,
0.001,,9099,,,,
,0.018077000975608826,9099,142,,,
0.001,,9149,,,,
,0.016031358391046524,9149,142,,,
,,9151,142,0.01499936357140541,,
,,9151,142,,0.015477944165468216,
0.001,,9152,,,,
0.001,,9199,,,,
,0.016287505626678467,9199,143,,,
,,9215,143,0.014938952401280403,,
,,9215,143,,0.015468566678464413,
0.001,,9216,,,,
0.001,,9249,,,,
,0.014726083725690842,9249,144,,,
,,9279,144,0.01573445461690426,,
,,9279,144,,0.015383089892566204,
0.001,,9280,,,,
0.001,,9299,,,,
,0.017318610101938248,9299,145,,,
,,9343,145,0.015161401592195034,,
,,9343,145,,0.015453902073204517,
0.001,,9344,,,,
0.001,,9349,,,,
,0.014207934960722923,9349,146,,,
0.001,,9399,,,,
,0.01455842424184084,9399,146,,,
,,9407,146,0.015768609941005707,,
,,9407,146,,0.015510647557675838,
0.001,,9408,,,,
0.001,,9449,,,,
,0.014125905930995941,9449,147,,,
,,9471,147,0.014723689295351505,,
,,9471,147,,0.01538308896124363,
0.001,,9472,,,,
0.001,,9499,,,,
,0.01578189991414547,9499,148,,,
,,9535,148,0.014971927739679813,,
,,9535,148,,0.015139699913561344,
0.001,,9536,,,,
0.001,,9549,,,,
,0.017394566908478737,9549,149,,,
0.001,,9599,,,,
,0.017558561637997627,9599,149,,,
,,9599,149,0.014826113358139992,,
,,9599,149,,0.015390297397971153,
0.001,,9600,,,,
0.001,,9649,,,,
,0.015170919708907604,9649,150,,,
,,9663,150,0.014614547602832317,,
,,9663,150,,0.015073264017701149,
0.001,,9664,,,,
0.001,,9699,,,,
,0.014356864616274834,9699,151,,,
,,9727,151,0.01444860827177763,,
,,9727,151,,0.01532386988401413,
0.001,,9728,,,,
0.001,,9749,,,,
,0.01404727715998888,9749,152,,,
,,9791,152,0.015288588590919971,,
,,9791,152,,0.015639912337064743,
0.001,,9792,,,,
0.001,,9799,,,,
,0.017844071611762047,9799,153,,,
0.001,,9849,,,,
,0.0146937882527709,9849,153,,,
,,9855,153,0.015284148044884205,,
,,9855,153,,0.015380694530904293,
0.001,,9856,,,,
0.001,,9899,,,,
,0.015020749531686306,9899,154,,,
,,9919,154,0.01560873445123434,,
,,9919,154,,0.015247493050992489,
0.001,,9920,,,,
0.001,,9949,,,,
,0.015663733705878258,9949,155,,,
,,9983,155,0.0166639294475317,,
,,9983,155,,0.015097379684448242,
0.001,,9984,,,,
0.001,,9999,,,,
,0.015000063925981522,9999,156,,,
,,10047,156,0.014711565338075161,,
,,10047,156,,0.015307054854929447,
0.001,,10048,,,,
0.001,,10049,,,,
,0.014141456224024296,10049,157,,,
0.001,,10099,,,,
,0.01595655083656311,10099,157,,,
,,10111,157,0.014559867791831493,,
,,10111,157,,0.015183373354375362,
0.001,,10112,,,,
0.001,,10149,,,,
,0.013616335578262806,10149,158,,,
,,10175,158,0.015030181035399437,,
,,10175,158,,0.015462866052985191,
