train_loss_step,epoch,step,lr-Adam,val_loss,train_loss_epoch,test_loss
,,9949,0.001,,,
0.7950843572616577,155,9949,,,,
,155,9983,,0.7945765852928162,,
,155,9983,,,0.7877864241600037,
,,9984,0.001,,,
,,9999,0.001,,,
0.8071847558021545,156,9999,,,,
,156,10047,,0.7945517301559448,,
,156,10047,,,0.787635326385498,
,,10048,0.001,,,
,,10049,0.001,,,
0.8000116348266602,157,10049,,,,
,,10099,0.001,,,
0.7778506875038147,157,10099,,,,
,157,10111,,0.7947281002998352,,
,157,10111,,,0.787665069103241,
,,10112,0.001,,,
,,10149,0.001,,,
0.8049170970916748,158,10149,,,,
,158,10175,,0.7944778800010681,,
,158,10175,,,0.787735104560852,
,,10176,0.001,,,
,,10199,0.001,,,
0.7546458840370178,159,10199,,,,
,159,10239,,0.7947419285774231,,
,159,10239,,,0.7877308130264282,
,,10240,0.001,,,
,,10249,0.001,,,
0.807884693145752,160,10249,,,,
,,10299,0.001,,,
0.7529515624046326,160,10299,,,,
,160,10303,,0.7944895029067993,,
,160,10303,,,0.7879655361175537,
,,10304,0.001,,,
,,10349,0.001,,,
0.8047736287117004,161,10349,,,,
,161,10367,,0.7945394515991211,,
,161,10367,,,0.7876516580581665,
,,10368,0.001,,,
