lr-Adam,train_loss_step,step,epoch,val_loss,train_loss_epoch,test_loss
,,6911,107,,0.22475174069404602,
0.001,,6912,,,,
0.001,,6949,,,,
,0.24000254273414612,6949,108,,,
,,6975,108,0.029911037534475327,,
,,6975,108,,0.22646819055080414,
0.001,,6976,,,,
0.001,,6999,,,,
,0.12438931316137314,6999,109,,,
,,7039,109,0.030008988454937935,,
,,7039,109,,0.2244604229927063,
0.001,,7040,,,,
0.001,,7049,,,,
,0.24499738216400146,7049,110,,,
0.001,,7099,,,,
,0.22747747600078583,7099,110,,,
,,7103,110,0.02991805039346218,,
,,7103,110,,0.22518286108970642,
0.001,,7104,,,,
0.001,,7149,,,,
,0.272131085395813,7149,111,,,
,,7167,111,0.030300704762339592,,
,,7167,111,,0.2248605638742447,
0.001,,7168,,,,
0.001,,7199,,,,
,0.34755781292915344,7199,112,,,
,,7231,112,0.029813194647431374,,
,,7231,112,,0.22485998272895813,
0.001,,7232,,,,
0.001,,7249,,,,
,0.16775789856910706,7249,113,,,
,,7295,113,0.030741067603230476,,
,,7295,113,,0.2228195071220398,
0.001,,7296,,,,
0.001,,7299,,,,
,0.223533034324646,7299,114,,,
0.001,,7349,,,,
,0.14666815102100372,7349,114,,,
,,7359,114,0.03154933452606201,,
,,7359,114,,0.22494915127754211,
0.001,,7360,,,,
0.001,,7399,,,,
,0.23271715641021729,7399,115,,,
,,7423,115,0.0296394694596529,,
,,7423,115,,0.2239522635936737,
0.001,,7424,,,,
0.001,,7449,,,,
,0.18442362546920776,7449,116,,,
,,7487,116,0.02957741543650627,,
,,7487,116,,0.22792233526706696,
0.001,,7488,,,,
0.001,,7499,,,,
,0.2478937953710556,7499,117,,,
0.001,,7549,,,,
,0.20107200741767883,7549,117,,,
,,7551,117,0.03264852613210678,,
,,7551,117,,0.22370362281799316,
0.001,,7552,,,,
0.001,,7599,,,,
,0.22343963384628296,7599,118,,,
,,7615,118,0.029621580615639687,,
,,7615,118,,0.22439882159233093,
0.001,,7616,,,,
0.001,,7649,,,,
,0.20641010999679565,7649,119,,,
,,7679,119,0.03580097109079361,,
,,7679,119,,0.22465966641902924,
0.001,,7680,,,,
0.001,,7699,,,,
,0.18217425048351288,7699,120,,,
,,7743,120,0.029443655163049698,,
,,7743,120,,0.22637364268302917,
0.001,,7744,,,,
0.001,,7749,,,,
,0.19192282855510712,7749,121,,,
0.001,,7799,,,,
,0.17239157855510712,7799,121,,,
,,7807,121,0.03054322674870491,,
,,7807,121,,0.2243855893611908,
0.001,,7808,,,,
0.001,,7849,,,,
,0.2392403781414032,7849,122,,,
,,7871,122,0.03011462464928627,,
,,7871,122,,0.22278907895088196,
0.001,,7872,,,,
0.001,,7899,,,,
,0.13087962567806244,7899,123,,,
,,7935,123,0.03066389262676239,,
,,7935,123,,0.22311998903751373,
0.001,,7936,,,,
0.001,,7949,,,,
,0.30638861656188965,7949,124,,,
0.001,,7999,,,,
,0.30787238478660583,7999,124,,,
,,7999,124,0.029413262382149696,,
,,7999,124,,0.2251807153224945,
0.001,,8000,,,,
0.001,,8049,,,,
,0.273399293422699,8049,125,,,
,,8063,125,0.032154109328985214,,
,,8063,125,,0.22286668419837952,
0.001,,8064,,,,
0.001,,8099,,,,
,0.17649784684181213,8099,126,,,
,,8127,126,0.03015870600938797,,
,,8127,126,,0.22129254043102264,
0.001,,8128,,,,
0.001,,8149,,,,
,0.2599150836467743,8149,127,,,
,,8191,127,0.030425336211919785,,
,,8191,127,,0.2225065529346466,
0.001,,8192,,,,
0.001,,8199,,,,
,0.1884993016719818,8199,128,,,
0.001,,8249,,,,
,0.23217511177062988,8249,128,,,
,,8255,128,0.030290799215435982,,
,,8255,128,,0.22360508143901825,
0.001,,8256,,,,
0.001,,8299,,,,
,0.2686583399772644,8299,129,,,
,,8319,129,0.033022791147232056,,
,,8319,129,,0.22442854940891266,
0.001,,8320,,,,
0.001,,8349,,,,
,0.17066407203674316,8349,130,,,
,,8383,130,0.028577638790011406,,
,,8383,130,,0.22201617062091827,
0.001,,8384,,,,
0.001,,8399,,,,
,0.1746230274438858,8399,131,,,
,,8447,131,0.030109835788607597,,
,,8447,131,,0.22209736704826355,
0.001,,8448,,,,
0.001,,8449,,,,
,0.32654690742492676,8449,132,,,
0.001,,8499,,,,
,0.2579321265220642,8499,132,,,
,,8511,132,0.034607794135808945,,
,,8511,132,,0.22104686498641968,
0.001,,8512,,,,
0.001,,8549,,,,
,0.29991206526756287,8549,133,,,
,,8575,133,0.028782837092876434,,
,,8575,133,,0.22091351449489594,
0.001,,8576,,,,
0.001,,8599,,,,
,0.20333129167556763,8599,134,,,
,,8639,134,0.02823169343173504,,
,,8639,134,,0.22186154127120972,
0.001,,8640,,,,
0.001,,8649,,,,
,0.2882551848888397,8649,135,,,
0.001,,8699,,,,
,0.2698014974594116,8699,135,,,
,,8703,135,0.029577385634183884,,
,,8703,135,,0.22315117716789246,
0.001,,8704,,,,
0.001,,8749,,,,
,0.17387939989566803,8749,136,,,
,,8767,136,0.030983535572886467,,
,,8767,136,,0.22234950959682465,
0.001,,8768,,,,
0.001,,8799,,,,
,0.16177333891391754,8799,137,,,
,,8831,137,0.029183128848671913,,
,,8831,137,,0.22155329585075378,
0.001,,8832,,,,
0.001,,8849,,,,
,0.34622499346733093,8849,138,,,
,,8895,138,0.03595777601003647,,
,,8895,138,,0.22445985674858093,
0.001,,8896,,,,
0.001,,8899,,,,
,0.26094481348991394,8899,139,,,
0.001,,8949,,,,
,0.3117353916168213,8949,139,,,
,,8959,139,0.03154991567134857,,
,,8959,139,,0.224250927567482,
0.001,,8960,,,,
0.001,,8999,,,,
,0.2589353621006012,8999,140,,,
,,9023,140,0.028310628607869148,,
,,9023,140,,0.22304677963256836,
0.001,,9024,,,,
0.001,,9049,,,,
,0.23625753819942474,9049,141,,,
,,9087,141,0.02893799915909767,,
,,9087,141,,0.2212597280740738,
0.001,,9088,,,,
0.001,,9099,,,,
,0.12120001763105392,9099,142,,,
0.001,,9149,,,,
,0.28656890988349915,9149,142,,,
,,9151,142,0.028114616870880127,,
,,9151,142,,0.22055137157440186,
0.001,,9152,,,,
0.001,,9199,,,,
,0.2363625466823578,9199,143,,,
,,9215,143,0.032206181436777115,,
,,9215,143,,0.22133326530456543,
0.001,,9216,,,,
0.001,,9249,,,,
,0.22901470959186554,9249,144,,,
,,9279,144,0.028111713007092476,,
,,9279,144,,0.22233973443508148,
0.001,,9280,,,,
0.001,,9299,,,,
,0.1665937453508377,9299,145,,,
,,9343,145,0.02962621860206127,,
,,9343,145,,0.22078527510166168,
0.001,,9344,,,,
0.001,,9349,,,,
,0.259486585855484,9349,146,,,
0.001,,9399,,,,
,0.21683251857757568,9399,146,,,
,,9407,146,0.03565242141485214,,
,,9407,146,,0.22352737188339233,
0.001,,9408,,,,
0.001,,9449,,,,
,0.19207951426506042,9449,147,,,
,,9471,147,0.029800012707710266,,
,,9471,147,,0.22039657831192017,
0.001,,9472,,,,
0.001,,9499,,,,
,0.23751886188983917,9499,148,,,
,,9535,148,0.030768731608986855,,
,,9535,148,,0.21872103214263916,
0.001,,9536,,,,
0.001,,9549,,,,
,0.18549922108650208,9549,149,,,
0.001,,9599,,,,
,0.32189255952835083,9599,149,,,
,,9599,149,0.03577983379364014,,
,,9599,149,,0.22162076830863953,
0.001,,9600,,,,
0.001,,9649,,,,
,0.16765642166137695,9649,150,,,
,,9663,150,0.029408980160951614,,
,,9663,150,,0.21980543434619904,
0.001,,9664,,,,
0.001,,9699,,,,
,0.15488649904727936,9699,151,,,
,,9727,151,0.029170339927077293,,
,,9727,151,,0.22145114839076996,
0.001,,9728,,,,
0.001,,9749,,,,
,0.21537773311138153,9749,152,,,
,,9791,152,0.029311180114746094,,
,,9791,152,,0.21879298985004425,
0.001,,9792,,,,
0.001,,9799,,,,
,0.14327816665172577,9799,153,,,
0.001,,9849,,,,
,0.1575591117143631,9849,153,,,
,,9855,153,0.02785540372133255,,
,,9855,153,,0.22032330930233002,
0.001,,9856,,,,
0.001,,9899,,,,
,0.23779962956905365,9899,154,,,
,,9919,154,0.02899543195962906,,
,,9919,154,,0.21767185628414154,
0.001,,9920,,,,
0.001,,9949,,,,
,0.2796708345413208,9949,155,,,
,,9983,155,0.027430742979049683,,
,,9983,155,,0.21966198086738586,
0.001,,9984,,,,
0.001,,9999,,,,
,0.2918201982975006,9999,156,,,
,,10047,156,0.028031371533870697,,
,,10047,156,,0.2188212275505066,
0.001,,10048,,,,
0.001,,10049,,,,
,0.10366452485322952,10049,157,,,
0.001,,10099,,,,
,0.24669457972049713,10099,157,,,
,,10111,157,0.027293022722005844,,
,,10111,157,,0.22006934881210327,
0.001,,10112,,,,
0.001,,10149,,,,
,0.1784716546535492,10149,158,,,
,,10175,158,0.027740880846977234,,
,,10175,158,,0.2197735756635666,
0.001,,10176,,,,
0.001,,10199,,,,
,0.32024431228637695,10199,159,,,
,,10239,159,0.02705606073141098,,
,,10239,159,,0.2214420884847641,
0.001,,10240,,,,
0.001,,10249,,,,
,0.15298424661159515,10249,160,,,
0.001,,10299,,,,
,0.26239725947380066,10299,160,,,
,,10303,160,0.027215996757149696,,
,,10303,160,,0.21830160915851593,
0.001,,10304,,,,
0.001,,10349,,,,
