train_loss_step,lr-Adam,epoch,step,val_loss,train_loss_epoch,test_loss
,,97,6271,,0.7907977104187012,
,0.001,,6272,,,
,0.001,,6299,,,
0.783149003982544,,98,6299,,,
,,98,6335,0.7974111437797546,,
,,98,6335,,0.7907863855361938,
,0.001,,6336,,,
,0.001,,6349,,,
0.7733683586120605,,99,6349,,,
,0.001,,6399,,,
0.8031034469604492,,99,6399,,,
,,99,6399,0.7974544763565063,,
,,99,6399,,0.7911010980606079,
,0.001,,6400,,,
,0.001,,6449,,,
0.7768679261207581,,100,6449,,,
,,100,6463,0.7974601984024048,,
,,100,6463,,0.7907149791717529,
,0.001,,6464,,,
,0.001,,6499,,,
0.7752436399459839,,101,6499,,,
,,101,6527,0.7982209324836731,,
,,101,6527,,0.7910909652709961,
,0.001,,6528,,,
,0.001,,6549,,,
0.7889575362205505,,102,6549,,,
,,102,6591,0.7973178625106812,,
,,102,6591,,0.790928065776825,
,0.001,,6592,,,
,0.001,,6599,,,
0.7807273268699646,,103,6599,,,
,0.001,,6649,,,
0.7771016955375671,,103,6649,,,
,,103,6655,0.7976269125938416,,
,,103,6655,,0.7906407117843628,
,0.001,,6656,,,
,0.001,,6699,,,
0.8014200925827026,,104,6699,,,
,,104,6719,0.7973131537437439,,
,,104,6719,,0.790803074836731,
,0.001,,6720,,,
,0.001,,6749,,,
0.7748384475708008,,105,6749,,,
,,105,6783,0.7973480820655823,,
,,105,6783,,0.7905899286270142,
,0.001,,6784,,,
,0.001,,6799,,,
0.773443341255188,,106,6799,,,
,,106,6847,0.7973004579544067,,
,,106,6847,,0.7905641794204712,
,0.001,,6848,,,
,0.001,,6849,,,
0.8239653706550598,,107,6849,,,
,0.001,,6899,,,
0.7957139611244202,,107,6899,,,
,,107,6911,0.797241747379303,,
,,107,6911,,0.7905236482620239,
,0.001,,6912,,,
,0.001,,6949,,,
0.80317622423172,,108,6949,,,
,,108,6975,0.797218918800354,,
,,108,6975,,0.7905156016349792,
,0.001,,6976,,,
,0.001,,6999,,,
0.7744355797767639,,109,6999,,,
