train_loss_step,epoch,step,lr-Adam,val_loss,train_loss_epoch,test_loss
,82,5311,,0.04972284659743309,,
,82,5311,,,0.0496060885488987,
,,5312,0.001,,,
,,5349,0.001,,,
0.053212858736515045,83,5349,,,,
,83,5375,,0.050895534455776215,,
,83,5375,,,0.05009356513619423,
,,5376,0.001,,,
,,5399,0.001,,,
0.05227495729923248,84,5399,,,,
,84,5439,,0.049592189490795135,,
,84,5439,,,0.05000333860516548,
,,5440,0.001,,,
,,5449,0.001,,,
0.04749516770243645,85,5449,,,,
,,5499,0.001,,,
0.046703040599823,85,5499,,,,
,85,5503,,0.05231219902634621,,
,85,5503,,,0.05011706054210663,
,,5504,0.001,,,
,,5549,0.001,,,
0.04823533445596695,86,5549,,,,
,86,5567,,0.049672432243824005,,
,86,5567,,,0.05032878741621971,
,,5568,0.001,,,
,,5599,0.001,,,
0.046677205711603165,87,5599,,,,
,87,5631,,0.049460168927907944,,
,87,5631,,,0.04928218945860863,
,,5632,0.001,,,
,,5649,0.001,,,
0.04811437427997589,88,5649,,,,
,88,5695,,0.05108564347028732,,
,88,5695,,,0.049598708748817444,
,,5696,0.001,,,
,,5699,0.001,,,
0.04700945317745209,89,5699,,,,
,,5749,0.001,,,
0.044639866799116135,89,5749,,,,
,89,5759,,0.050631679594516754,,
,89,5759,,,0.0497211255133152,
,,5760,0.001,,,
,,5799,0.001,,,
0.04485562443733215,90,5799,,,,
,90,5823,,0.04994586855173111,,
,90,5823,,,0.04926622658967972,
,,5824,0.001,,,
,,5849,0.001,,,
0.04338320344686508,91,5849,,,,
,91,5887,,0.04975651577115059,,
,91,5887,,,0.049594949930906296,
,,5888,0.001,,,
,,5899,0.001,,,
0.05049937963485718,92,5899,,,,
,,5949,0.001,,,
0.051349252462387085,92,5949,,,,
,92,5951,,0.05010746791958809,,
,92,5951,,,0.04953194409608841,
,,5952,0.001,,,
,,5999,0.001,,,
0.048895083367824554,93,5999,,,,
,93,6015,,0.05051882937550545,,
,93,6015,,,0.04967019334435463,
,,6016,0.001,,,
,,6049,0.001,,,
0.048665851354599,94,6049,,,,
,94,6079,,0.049664683640003204,,
,94,6079,,,0.049252718687057495,
,,6080,0.001,,,
,,6099,0.001,,,
0.054109301418066025,95,6099,,,,
,95,6143,,0.049908995628356934,,
,95,6143,,,0.04939683899283409,
,,6144,0.001,,,
,,6149,0.001,,,
0.051638856530189514,96,6149,,,,
,,6199,0.001,,,
0.04958260431885719,96,6199,,,,
,96,6207,,0.049374911934137344,,
,96,6207,,,0.049128301441669464,
,,6208,0.001,,,
,,6249,0.001,,,
0.04556639865040779,97,6249,,,,
,97,6271,,0.050795529037714005,,
,97,6271,,,0.04919084534049034,
,,6272,0.001,,,
,,6299,0.001,,,
0.04862080514431,98,6299,,,,
,98,6335,,0.049664709717035294,,
,98,6335,,,0.0489826425909996,
,,6336,0.001,,,
,,6349,0.001,,,
0.05370062217116356,99,6349,,,,
,,6399,0.001,,,
0.0463237427175045,99,6399,,,,
,99,6399,,0.049902111291885376,,
,99,6399,,,0.04895232990384102,
,,6400,0.001,,,
,,6449,0.001,,,
0.04966915026307106,100,6449,,,,
,100,6463,,0.05093914270401001,,
,100,6463,,,0.04939655587077141,
,,6464,0.001,,,
,,6499,0.001,,,
0.05261928588151932,101,6499,,,,
,101,6527,,0.049269210547208786,,
,101,6527,,,0.04940403625369072,
,,6528,0.001,,,
,,6549,0.001,,,
0.04550323635339737,102,6549,,,,
,102,6591,,0.05015822499990463,,
,102,6591,,,0.04916432499885559,
,,6592,0.001,,,
,,6599,0.001,,,
0.04878270998597145,103,6599,,,,
,,6649,0.001,,,
0.05043264105916023,103,6649,,,,
,103,6655,,0.04894886538386345,,
,103,6655,,,0.04905351996421814,
,,6656,0.001,,,
,,6699,0.001,,,
0.05172587186098099,104,6699,,,,
,104,6719,,0.048628974705934525,,
,104,6719,,,0.0487506277859211,
,,6720,0.001,,,
,,6749,0.001,,,
0.04790909215807915,105,6749,,,,
,105,6783,,0.04865685850381851,,
,105,6783,,,0.04890340939164162,
,,6784,0.001,,,
,,6799,0.001,,,
0.04945586994290352,106,6799,,,,
,106,6847,,0.04847203940153122,,
,106,6847,,,0.04862489178776741,
,,6848,0.001,,,
,,6849,0.001,,,
0.04490743204951286,107,6849,,,,
,,6899,0.001,,,
0.04345574229955673,107,6899,,,,
,107,6911,,0.048398520797491074,,
,107,6911,,,0.048354580998420715,
,,6912,0.001,,,
,,6949,0.001,,,
0.05052250251173973,108,6949,,,,
,108,6975,,0.050058670341968536,,
,108,6975,,,0.048489391803741455,
,,6976,0.001,,,
,,6999,0.001,,,
0.049555759876966476,109,6999,,,,
,109,7039,,0.0518823005259037,,
,109,7039,,,0.04925059154629707,
,,7040,0.001,,,
,,7049,0.001,,,
0.04767339304089546,110,7049,,,,
,,7099,0.001,,,
0.04900016263127327,110,7099,,,,
,110,7103,,0.049321841448545456,,
,110,7103,,,0.048923514783382416,
,,7104,0.001,,,
,,7149,0.001,,,
0.048048071563243866,111,7149,,,,
,111,7167,,0.050924256443977356,,
,111,7167,,,0.04841822385787964,
,,7168,0.001,,,
,,7199,0.001,,,
0.046829212456941605,112,7199,,,,
,112,7231,,0.04855802282691002,,
,112,7231,,,0.048454102128744125,
,,7232,0.001,,,
,,7249,0.001,,,
0.04597123712301254,113,7249,,,,
,113,7295,,0.04833994060754776,,
,113,7295,,,0.04867188632488251,
,,7296,0.001,,,
,,7299,0.001,,,
0.05234885215759277,114,7299,,,,
,,7349,0.001,,,
0.04657371714711189,114,7349,,,,
,114,7359,,0.04857974871993065,,
,114,7359,,,0.048482827842235565,
,,7360,0.001,,,
,,7399,0.001,,,
0.04913012310862541,115,7399,,,,
,115,7423,,0.04823299124836922,,
,115,7423,,,0.04802533984184265,
,,7424,0.001,,,
,,7449,0.001,,,
0.05561127886176109,116,7449,,,,
,116,7487,,0.0479079894721508,,
,116,7487,,,0.048345472663640976,
,,7488,0.001,,,
,,7499,0.001,,,
0.05062317103147507,117,7499,,,,
,,7549,0.001,,,
0.053796958178281784,117,7549,,,,
,117,7551,,0.048042912036180496,,
,117,7551,,,0.04823363944888115,
,,7552,0.001,,,
,,7599,0.001,,,
0.04730571433901787,118,7599,,,,
,118,7615,,0.0479222908616066,,
,118,7615,,,0.047871071845293045,
,,7616,0.001,,,
,,7649,0.001,,,
0.044306088238954544,119,7649,,,,
,119,7679,,0.04829249903559685,,
,119,7679,,,0.04799928888678551,
,,7680,0.001,,,
,,7699,0.001,,,
0.044004540890455246,120,7699,,,,
,120,7743,,0.04843561723828316,,
,120,7743,,,0.048140209168195724,
,,7744,0.001,,,
,,7749,0.001,,,
0.04654654115438461,121,7749,,,,
,,7799,0.001,,,
0.04391545057296753,121,7799,,,,
,121,7807,,0.04750813916325569,,
,121,7807,,,0.0478019118309021,
,,7808,0.001,,,
,,7849,0.001,,,
0.0481293611228466,122,7849,,,,
,122,7871,,0.04858687147498131,,
,122,7871,,,0.04756862670183182,
,,7872,0.001,,,
,,7899,0.001,,,
0.04699293151497841,123,7899,,,,
,123,7935,,0.048097945749759674,,
,123,7935,,,0.047573816031217575,
,,7936,0.001,,,
,,7949,0.001,,,
0.048957303166389465,124,7949,,,,
,,7999,0.001,,,
0.05412685498595238,124,7999,,,,
,124,7999,,0.04810984432697296,,
,124,7999,,,0.04824964702129364,
,,8000,0.001,,,
,,8049,0.001,,,
0.049045074731111526,125,8049,,,,
,125,8063,,0.048340048640966415,,
,125,8063,,,0.04835722967982292,
,,8064,0.001,,,
,,8099,0.001,,,
0.04620513319969177,126,8099,,,,
,126,8127,,0.0473177544772625,,
,126,8127,,,0.047208741307258606,
,,8128,0.001,,,
,,8149,0.001,,,
0.04788478836417198,127,8149,,,,
,127,8191,,0.04727046564221382,,
,127,8191,,,0.047051168978214264,
,,8192,0.001,,,
,,8199,0.001,,,
0.05375019460916519,128,8199,,,,
,,8249,0.001,,,
0.05207650735974312,128,8249,,,,
,128,8255,,0.047343142330646515,,
,128,8255,,,0.04783475399017334,
,,8256,0.001,,,
,,8299,0.001,,,
0.04774653911590576,129,8299,,,,
,129,8319,,0.047416120767593384,,
,129,8319,,,0.047088902443647385,
,,8320,0.001,,,
,,8349,0.001,,,
0.049714911729097366,130,8349,,,,
,130,8383,,0.048886142671108246,,
,130,8383,,,0.04716579616069794,
,,8384,0.001,,,
,,8399,0.001,,,
0.04882676526904106,131,8399,,,,
,131,8447,,0.0464552603662014,,
,131,8447,,,0.04690812900662422,
,,8448,0.001,,,
,,8449,0.001,,,
0.047055941075086594,132,8449,,,,
,,8499,0.001,,,
0.0478476956486702,132,8499,,,,
,132,8511,,0.04679595306515694,,
,132,8511,,,0.04672253131866455,
,,8512,0.001,,,
,,8549,0.001,,,
0.047436513006687164,133,8549,,,,
,133,8575,,0.04592753201723099,,
,133,8575,,,0.04648549482226372,
,,8576,0.001,,,
,,8599,0.001,,,
0.04553402215242386,134,8599,,,,
,134,8639,,0.04735704883933067,,
,134,8639,,,0.04657731577754021,
,,8640,0.001,,,
,,8649,0.001,,,
0.0457814522087574,135,8649,,,,
,,8699,0.001,,,
0.04674164578318596,135,8699,,,,
,135,8703,,0.045016538351774216,,
,135,8703,,,0.044821515679359436,
,,8704,0.001,,,
,,8749,0.001,,,
0.04597941413521767,136,8749,,,,
,136,8767,,0.04442443698644638,,
,136,8767,,,0.044015172868967056,
,,8768,0.001,,,
,,8799,0.001,,,
0.0449126698076725,137,8799,,,,
,137,8831,,0.044371332973241806,,
,137,8831,,,0.04363221675157547,
,,8832,0.001,,,
,,8849,0.001,,,
0.040292058140039444,138,8849,,,,
,138,8895,,0.04372406750917435,,
,138,8895,,,0.042990442365407944,
,,8896,0.001,,,
,,8899,0.001,,,
0.041746195405721664,139,8899,,,,
,,8949,0.001,,,
0.039560530334711075,139,8949,,,,
,139,8959,,0.04186859354376793,,
,139,8959,,,0.04271896556019783,
,,8960,0.001,,,
,,8999,0.001,,,
0.04370206594467163,140,8999,,,,
,140,9023,,0.041577957570552826,,
,140,9023,,,0.04210998862981796,
,,9024,0.001,,,
,,9049,0.001,,,
0.041575442999601364,141,9049,,,,
,141,9087,,0.04369480907917023,,
,141,9087,,,0.0422833152115345,
,,9088,0.001,,,
,,9099,0.001,,,
0.04342322796583176,142,9099,,,,
,,9149,0.001,,,
0.04181894659996033,142,9149,,,,
,142,9151,,0.04149980470538139,,
,142,9151,,,0.04178960248827934,
,,9152,0.001,,,
,,9199,0.001,,,
0.04179840162396431,143,9199,,,,
,143,9215,,0.0420432984828949,,
,143,9215,,,0.04099201411008835,
,,9216,0.001,,,
,,9249,0.001,,,
0.04050122946500778,144,9249,,,,
,144,9279,,0.040521763265132904,,
,144,9279,,,0.04083063080906868,
,,9280,0.001,,,
